sale_code;date;total
f6e9c0bd-3c2b-48b0-8b4a-9151557eabab;2022-11-25;56124
514a9808-a725-4821-acd8-b3f8339be34a;2022-11-25;92346
8fef3c58-70c8-4d95-b834-029bba50faef;2022-11-25;98037
3c534571-5c8d-4b19-861d-67ad101a6949;2022-11-24;95068
d28f0a75-74a3-4f18-9bf8-5689215ea144;2022-11-25;47010
9135302c-e2e2-49b4-abd3-e199f02d8134;2022-11-25;91055
1305b3e9-9474-49a1-b198-24c2d01ac799;2022-11-24;17790
b3c8c88f-3162-4846-82d8-245bcd4ba8a4;2022-11-24;69293
2504655d-98c8-4f62-9e28-b832d7080a1b;2022-11-24;94734
369e8105-c05a-4001-9407-1385b3f866be;2022-11-24;65616
